geometry,addr:city,addr:postcode,addr:street,amenity,name,access:covid19,addr:village,brand,brand:wikidata,brand:wikipedia,delivery:covid19,healthcare,shop,takeaway:covid19,addr:housename,branch,opening_hours,smoking,smoking:outdoors,brand:facebook,brand:website,old_name,operator,addr:housenumber,alt_name,internet_access,phone,start_date,website,denomination,religion,level,operator:type,phone:alternate,name:tl,laundry_service,self_service,opening_hours:covid19,ref:vatin,ref,taxi_vehicle,cuisine,delivery,access,shelter_type,capacity,fee,parking,surface,air_conditioning,check_date,name:ar,name:en,name:es,name:ko,name:ru,payment:cash,payment:gcash,payment:maya,ref:branch,takeaway,takeout,cash_in,currency:PHP,currency:others,drive_through,network,name:abbr,source,backrest,microbrewery,outdoor_seating,wheelchair,material,female,male,gambling,natural,office,room,public_transport,cash_out,cheque_in,language:en,language:others,location,network:wikidata,facebook,frequency,on_air:frequency,operator:wikidata,studio,wikidata,wikipedia,second_hand,osm_id,timestamp,type,official_name,addr:province,addr:room,addr:door,atm,name:zh,addr:street:corner,toilets,service:bicycle:fixie,bicycle_parking,delivery:partner,payment:alipay,payment:grabpay,payment:mastercard,payment:mastercard_debit,payment:visa,payment:visa_debit,payment:wechat,organic,addr:quarter,service:bicycle:repair,service:bicycle:retail,closed,addr:full,not:operator:wikidata,service,addr:barangay,addr:town,building,landuse,emergency,fuel:diesel,fuel:e10,fuel:octane_91,fuel:octane_95,addr:place,building:levels,note:es,contact:mobile,email,changing_table,toilets:disposal,government,loc_name,short_name,addr:unit,abbr_name,description,clothes,seats,contact:phone,indoor,social_facility,social_facility:for,contact:email,dispensing,police,food,trade,contact:facebook,lgbtq,addr:floor,payment:pluxee,fax,internet_access:fee,internet_access:ssid,fast_food,unisex,computer:repair,mobile_phone:repair,healthcare:speciality,repair,covered,operator:en,operator:short,operator:tl,vending,diet:meat,bus,addr:district,mobile,place,note,roof:colour,building:material,building:underground,roof:material,roof:shape,theatre:type,townhall:type,tourism,leisure,wikimedia_commons,height,man_made,tower:type,isced:level,addr:neighbourhood,population:pupils:2012,population:pupils:2015,source:date,residential,layer,duplicate,previously,disused:amenity,device_charging,device_charging:capacity,device_charging:fee,postal_code,ref:doh,nohousenumber,sport,capacity:disabled,barrier,grades,name:etymology,name:etymology:wikidata,old_name:1904-09-26--2016-09-12,old_name:etymology,monitoring:weather,building:use,reservation,old_addr:housenumber,ele,payment:credit_cards,service:vehicle:sale,name:description,addr:hamlet,addr:state,building:levels:underground,not:brand:wikidata,hazard,crop,building:min_level,fuel:octane_100,wikipedia:en,roof:levels,roof:orientation,building:repair,place_of_worship,abandoned:amenity,supervised,end_date,addr:old,house,addr:municipality,education,old_name:en,old_name:tl,brand:instagram,brand:twitter,fuel:octane_97,smoothness,motorcycle:repair,motorcycle:sales,club,information,diet:vegan,addr:country,drinking_water,fountain,building:height,construction,disused:building,building:flats,produce,area,aquaculture,water,fuel:octane_93,vehicle,bench,lit,diet:beef,payment:e-load,beauty,communication:mobile_phone,tower:construction,trees,power,substation,voltage,denomination:wikidata,place:PH,centroid,x,y
"POLYGON ((121.2267974 14.1802845, 121.2266319 14.1801525, 121.2267224 14.1800459, 121.2268879 14.180178, 121.2267974 14.1802845))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22675989459178 14.180165216127957),121.22675989459178,14.180165216127957
"POLYGON ((121.2268019 14.1804379, 121.2267267 14.1803775, 121.2267914 14.1803018, 121.2268666 14.1803621, 121.2268019 14.1804379))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22679665127497 14.180369833192982),121.22679665127497,14.180369833192982
"POLYGON ((121.2264799 14.1802347, 121.2263791 14.1801785, 121.2264309 14.1800911, 121.2265317 14.1801472, 121.2264799 14.1802347))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22645540531506 14.180162882243147),121.22645540531506,14.180162882243147
"POLYGON ((121.2264654 14.1808586, 121.2263788 14.1808333, 121.2264228 14.1806917, 121.2265095 14.180717, 121.2264654 14.1808586))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22644413024861 14.180775137914475),121.22644413024861,14.180775137914475
"POLYGON ((121.2264433 14.1806722, 121.2263822 14.1806377, 121.2264259 14.180565, 121.2264869 14.1805994, 121.2264433 14.1806722))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.2264345701544 14.180618588154282),121.2264345701544,14.180618588154282
"POLYGON ((121.2262668 14.1810392, 121.2261905 14.1810249, 121.2262126 14.1809144, 121.2263175 14.1809341, 121.2262995 14.1810242, 121.2262709 14.1810188, 121.2262668 14.1810392))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22625245960796 14.180976726663573),121.22625245960796,14.180976726663573
"POLYGON ((121.2264955 14.181167, 121.226421 14.1811523, 121.2264574 14.1809783, 121.226532 14.180993, 121.2264955 14.181167))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22647647958895 14.181072631454823),121.22647647958895,14.181072631454823
"POLYGON ((121.2271191 14.1809005, 121.2270527 14.1808895, 121.2270717 14.1807812, 121.2271382 14.1807922, 121.2271191 14.1809005))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22709542814387 14.180840836938792),121.22709542814387,14.180840836938792
"POLYGON ((121.2267806 14.1811337, 121.2266862 14.1811305, 121.2266889 14.1810546, 121.2267834 14.1810578, 121.2267806 14.1811337))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22673477559326 14.18109414332343),121.22673477559326,14.18109414332343
"POLYGON ((121.2272369 14.1809925, 121.2271355 14.1809865, 121.2271445 14.1808438, 121.2272459 14.1808498, 121.2272369 14.1809925))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.2271907 14.180918149999998),121.2271907,14.180918149999998
"POLYGON ((121.2276537 14.1810775, 121.227365 14.1810715, 121.2273529 14.1811858, 121.2272451 14.1811819, 121.2272532 14.1808291, 121.2273508 14.1805946, 121.2274281 14.1806123, 121.2274208 14.1807004, 121.2273935 14.1808272, 121.2275195 14.1808429, 121.2275175 14.1808685, 121.2275744 14.1808863, 121.2275724 14.1809316, 121.2276578 14.1809316, 121.2276679 14.1809533, 121.2276537 14.1810775))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22740700059833 14.180930694882441),121.22740700059833,14.180930694882441
"POLYGON ((121.2283012 14.1811119, 121.2282198 14.1811079, 121.2282299 14.1809149, 121.2283113 14.1809189, 121.2283012 14.1811119))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22826555 14.181013399999998),121.22826555,14.181013399999998
"POLYGON ((121.2281581 14.1810845, 121.2280681 14.1810764, 121.2280935 14.1808138, 121.2281538 14.1808193, 121.2281781 14.1808666, 121.2281581 14.1810845))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22812416608713 14.1809526195724),121.22812416608713,14.1809526195724
"POLYGON ((121.2280466 14.1810624, 121.2279472 14.1810501, 121.2279803 14.1807987, 121.2280797 14.180811, 121.2280466 14.1810624))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22801344999999 14.18093055),121.22801344999999,14.18093055
"POLYGON ((121.2283439 14.1806911, 121.2281754 14.180626, 121.2282952 14.1803344, 121.2284637 14.1803995, 121.2283439 14.1806911))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22831955000001 14.180512750000002),121.22831955000001,14.180512750000002
"POLYGON ((121.2269973 14.1805957, 121.2269213 14.1805544, 121.2270108 14.1803995, 121.2270868 14.1804408, 121.2269973 14.1805957))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22700405 14.180497599999997),121.22700405,14.180497599999997
"POLYGON ((121.2270815 14.1807618, 121.2270038 14.1807453, 121.2270305 14.1806266, 121.2271083 14.1806431, 121.2270815 14.1807618))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22705602884177 14.180694188092891),121.22705602884177,14.180694188092891
"POLYGON ((121.2269436 14.1811715, 121.2268096 14.1811706, 121.2268106 14.1810366, 121.2269447 14.1810375, 121.2269436 14.1811715))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22687712512125 14.181104041670588),121.22687712512125,14.181104041670588
"POLYGON ((121.2269021 14.1809773, 121.2268197 14.1809715, 121.2268299 14.1808359, 121.2269122 14.1808417, 121.2269021 14.1809773))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22686597362369 14.180906613624986),121.22686597362369,14.180906613624986
"POLYGON ((121.227054 14.181194, 121.2269618 14.1811905, 121.2269703 14.1809806, 121.2270625 14.1809842, 121.227054 14.181194))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22701214637544 14.181087324092184),121.22701214637544,14.181087324092184
"POLYGON ((121.2275366 14.1807206, 121.2274449 14.1806978, 121.2274907 14.180525, 121.2275825 14.1805479, 121.2275366 14.1807206))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22751367682532 14.180622805599919),121.22751367682532,14.180622805599919
"POLYGON ((121.2272932 14.1814686, 121.2272099 14.1814639, 121.2272179 14.1813309, 121.2273012 14.1813356, 121.2272932 14.1814686))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22725555 14.18139975),121.22725555,14.18139975
"POLYGON ((121.2273477 14.1815086, 121.2272901 14.1814995, 121.2273185 14.1813313, 121.2273761 14.1813405, 121.2273477 14.1815086))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22733309789585 14.181419970556943),121.22733309789585,14.181419970556943
"POLYGON ((121.2271178 14.1816441, 121.2270454 14.1815977, 121.2270594 14.1815378, 121.2269953 14.1815237, 121.2270145 14.1814412, 121.2271577 14.1814726, 121.2271178 14.1816441))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22708190188614 14.18152695828311),121.22708190188614,14.18152695828311
"POLYGON ((121.2271694 14.1814661, 121.2270153 14.1814346, 121.2270334 14.1813514, 121.2271875 14.1813828, 121.2271694 14.1814661))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22710141456628 14.181408728951608),121.22710141456628,14.181408728951608
"POLYGON ((121.2272797 14.1816895, 121.2271396 14.1816363, 121.2271711 14.1815095, 121.2273264 14.1815616, 121.2272797 14.1816895))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22723006336722 14.181598464881178),121.22723006336722,14.181598464881178
"POLYGON ((121.2276059 14.1816436, 121.2275184 14.1816074, 121.2275021 14.1816004, 121.227531 14.1815351, 121.2276094 14.1815678, 121.2276059 14.1816436))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22756168474417 14.181588405559413),121.22756168474417,14.181588405559413
"POLYGON ((121.2279119 14.1818177, 121.2278267 14.1817531, 121.2278392 14.1815826, 121.2279535 14.1815905, 121.2279454 14.1817012, 121.2279206 14.1816995, 121.2279119 14.1818177))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22788652184033 14.181680895279777),121.22788652184033,14.181680895279777
"POLYGON ((121.2277419 14.1817545, 121.2276765 14.1817444, 121.2276928 14.1816549, 121.2276777 14.1816549, 121.2276847 14.1815859, 121.2277104 14.1815904, 121.2277209 14.1815395, 121.2278178 14.1815542, 121.2277979 14.1816832, 121.2277419 14.1817545))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22774355458506 14.181643422556203),121.22774355458506,14.181643422556203
"POLYGON ((121.2276734 14.1814866, 121.2275848 14.1814765, 121.2275975 14.1813712, 121.2276861 14.1813813, 121.2276734 14.1814866))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22763545 14.181428899999998),121.22763545,14.181428899999998
"POLYGON ((121.2277879 14.1815179, 121.2277135 14.1815095, 121.2277287 14.1813834, 121.2278031 14.1813918, 121.2277879 14.1815179))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.22775829999999 14.181450649999999),121.22775829999999,14.181450649999999
